image,locationName,city,gencapacity (kW),Unnamed: 4,latitude,longitude
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Beacon,"Beacon, NY",2800,,41.4941387,-73.9832528
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Ogdensburg,"Ogdensburg, NY",1131,,44.6986104,-75.4630241
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Olean,"Olean, NY",4100,,42.1004556,-78.4425605
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Oneida Solar,"Oneida, NY",2000,,43.0829397,-75.6945622
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Rochester,"Rochester, NY",2600,,43.1764469,-77.6789079
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Troy - Troy Landfill 3 Landfill Road - PV Systems,"Troy, NY",2600,,42.7004941,-73.6754961
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Utica - 583A Five Mile Line Road,"Lisbon, NY",1981,,44.7276143,-75.3405162
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Utica 2,"Gouverneur, NY",1443,,44.344359,-75.4464719
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,City of Utica Solar Project 1 - 583B Five Mile Line Road,"Lisbon, NY",2800,,44.7276143,-75.3405162
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Clarkson Renewables, LLC - Lake Road","Clarkson, NY",7100,,43.227367,-77.9451559
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Clarkson Solar,"Potsdam, NY",2300,,44.672302,-74.9526709
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Clarkstown Landfill,"West Nyack, NY",2300,,41.0888014,-73.9517724
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Claverack Solar 1, LLC - 239 Stottville Road","Hudson, NY",7500,,42.2710661,-73.7331587
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,ClearPath Energy - 254 Route 11,"Tully, NY",7500,,42.7854237,-76.1051292
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,ClearPath Energy - 526 State Route 170A,"Little Falls, NY",7600,,43.111229,-74.8395919
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,ClearPath Energy - 705 North Rd,"Tully, NY",7500,,42.8045417,-76.1185777
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,ClearPath Energy - 7057 Brewery Rd,"Lowville, NY",4600,,43.8691531,-75.3730703
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,ClearPath Energy LLC - 340 Route 11,"Tully, NY",6800,,42.7899256,-76.1099669
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Columbia University - 124 Johnson Road,"Chester, NY",2900,,41.383503,-74.2642489
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Columbia University - 234 State Line Road,"Westtown, NY",2900,,41.295945,-74.5552392
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Cornell Snyder Road Solar Farm,"Ithaca, NY",2100,,42.4989841,-76.4639671
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Cornell University Agricultural Experiment Station (CUAES),"Aurora, NY",5700,,42.7269033,-76.6643835
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Cornell University New York State Agricultural Experiment Station (NYSAES),"Geneva, NY",2800,,42.8686042,-77.0329815
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Cornell University Ruminant Center,"Harford, NY",2800,,42.4399284,-76.238229
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Corning Inc. - 238220,"Tonawanda, NY",6000,,42.9999487,-78.91586
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Costanza Solar, LLC","Westerlo, NY",3000,,42.4645771,-74.0789326
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,County of Lewis - 5252 Outer Stowe Street,"Lowville, NY",2500,,43.7782442,-75.5015392
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Crans Mill Road Solar Project,"Pine Bush,, NY",2800,,41.5637563,-74.3473398
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Cream Street Solar, LLC - 175408","Hyde Park, NY",2900,,41.7558311,-73.8779015
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Cricket Hill Solar, LLC","Dover Plains, NY",3100,,41.6766564,-73.5782836
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Cummins Jamestown Engine Plant,"Lakewood, NY",2000,,42.0820969,-79.3663494
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"CVE North America, Inc - 7 Belair Lane","Troy, NY",4900,,42.7532318,-73.6488793
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Cypress Creek Renewables 590 County Road 108,"St Johnsville, NY",6500,,43.0570096,-74.7379665
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar - 2497 Canoga Road,"Seneca Falls, NY",7000,,42.851934,-76.8027327
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar - 466 Yellow Mills 1-3,"Palmyra, NY",8300,,43.0193166,-77.2627755
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar - Cafferty Hill,"Owego, NY",6900,,42.084069,-76.1146829
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar - Millard Hill Road,"Newfield, NY",7500,,42.385081,-76.5990418
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar - Podunk Road,"Trumansburg, NY",2700,,42.466603,-76.6574428
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar - Route 19, Pike","Pike, NY",9900,,42.5639899,-78.1446961
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar - Telegraph Road,"Pike, NY",7500,,42.5546687,-78.225722
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar - Turner Road,"Lowman, NY",2700,,42.096626,-76.6779069
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar (Woodoak Drive),"Tusten, NY",2700,,41.5915347,-75.0370914
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar 297 Boas Rd,"Mooers Forks, NY",8400,,44.9361669,-73.6742045
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Delaware River Solar 309 Hospital Road,"Callicoon, NY",1689,,41.775364,-75.0385948
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC","Owego, NY",6300,,42.1936433,-76.2501927
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - 2 Frey Road","Macedon, NY",4400,,43.1198947,-77.3305634
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - 2017 State Highway 17B (#1)","Bethel, NY",6100,,41.6843081,-74.8768714
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - 213067","Mooers, NY",5500,,44.6672696,-75.0912835
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - 2635 Day Hollow Rd","Owego, NY",7100,,42.112746,-76.1790429
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - 3167 State Route 17C","Tioga, NY",6100,,42.0665007,-76.3423402
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - 54 Old Catskill Tpke","Triangle, NY",5300,,42.3397566,-75.9011228
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - 5520 Eddy Ridge Rd","Williamson, NY",3300,,43.201353,-77.2096109
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - 6161 East River Road - PV Systems","Henrietta, NY",6000,,43.0211171,-77.7100226
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - 81469","East Aurora, NY",2800,,42.7670018,-78.5613747
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - County Route 84","Troupsburg, NY",6900,,42.0214859,-77.6347502
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - Harris Rd","Liberty, NY",2600,,41.7722187,-74.7397996
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - Spencer Rd","Candor, NY",7000,,42.232069,-76.3719359
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - State Route 14A","Benton, NY",6900,,42.6329533,-77.04245
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC - Wildflower Way","Bath, NY",7000,,42.3606815,-77.3046261
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC Dryden Road","Dryden, NY",1739,,42.486531,-76.3230169
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Delaware River Solar, LLC NY 70","Portage, NY",6900,,42.5496738,-77.9727197
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"DG New York CS, LLC - 2800 Swett Rd","Ridgeway, NY",3800,,43.279764,-78.3736768
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"DG New York CS, LLC - 4025 Carr-Hill Rd","Cortland, NY",7500,,42.6025487,-76.1296726
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"DG New York CS, LLC - 5234 Avon E Avon Rd","Avon, NY",7000,,42.9090658,-77.7304806
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"DG New York CS, LLC - 6719 Pottery Rd","Warners, NY",4800,,43.0994517,-76.2961144
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"DG New York CS, LLC - 7751 E Sorrell Hill Rd","Baldwinsville, NY",7400,,43.1433492,-76.3525533
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"DG New York CS, LLC - Brothertown Rd","Waterville, NY",6500,,42.9254431,-75.4227201
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"DG New York CS, LLC - Ver Plank Road","Clay, NY",7200,,43.1936937,-76.2121417
